Original_Index,Selected_Index,Correlation
3,1,0.218166
11,2,-0.218426
27,3,-0.217877
61,4,0.487107
62,5,-0.303406
65,6,-0.218773
66,7,0.200411
67,8,0.218105
69,9,-0.211012
79,10,-0.217929
80,11,-0.210297
81,12,0.214648
82,13,0.147645
83,14,-0.218139
85,15,0.218857
87,16,-0.199068
89,17,-0.143085
91,18,-0.219420
92,19,-0.143270
93,20,0.217924
95,21,-0.142415
106,22,-0.163302
108,23,-0.218815
109,24,-0.210182
110,25,-0.213551
111,26,0.215308
112,27,-0.215067
113,28,0.113499
115,29,0.218151
116,30,0.217524
117,31,0.189239
119,32,-0.201164
120,33,-0.216610
121,34,0.212689
131,35,0.204136
132,36,0.175400
134,37,0.226948
135,38,0.228901
136,39,0.240426
140,40,0.145345
141,41,0.195677
142,42,0.193619
143,43,0.230736
144,44,0.240871
145,45,0.174080
146,46,0.202411
147,47,0.225797
148,48,0.240845
149,49,-0.165952
150,50,0.226709
151,51,0.219492
152,52,0.238574
153,53,0.196489
154,54,0.205839
155,55,0.224334
156,56,0.208980
157,57,0.222326
159,58,0.227735
160,59,0.240872
161,60,0.238013
162,61,0.119051
163,62,0.194239
164,63,0.242621
165,64,0.226703
166,65,0.174690
167,66,0.231539
168,67,0.241799
170,68,0.107239
171,69,0.220609
172,70,0.252258
173,71,0.196946
174,72,0.194021
175,73,0.237662
176,74,0.245426
177,75,0.223097
179,76,0.267353
180,77,0.270218
181,78,0.235559
182,79,0.258945
183,80,0.180406
184,81,0.268384
185,82,0.247748
186,83,0.214672
187,84,0.267260
188,85,0.285161
189,86,0.213056
190,87,0.254101
191,88,0.266098
192,89,0.269430
193,90,0.258496
194,91,0.260022
195,92,0.263316
196,93,0.302549
197,94,0.254430
198,95,0.290744
199,96,0.292496
200,97,0.306045
201,98,0.247874
202,99,0.302791
203,100,0.259927
204,101,0.305626
205,102,0.245817
206,103,0.310627
207,104,0.306053
208,105,0.322811
210,106,-0.185661
213,107,0.109050
214,108,0.155498
215,109,0.159911
216,110,0.162730
217,111,-0.393585
218,112,-0.402261
219,113,-0.338080
220,114,-0.295625
221,115,-0.285216
222,116,-0.284090
223,117,-0.268803
224,118,-0.299749
227,119,-0.206150
228,120,-0.144253
230,121,-0.316378
231,122,-0.202424
232,123,-0.216322
233,124,0.291537
234,125,0.241921
235,126,0.150564
236,127,0.171691
238,128,-0.272459
239,129,-0.153657
240,130,-0.153084
241,131,0.201965
242,132,0.162643
243,133,0.139079
244,134,0.153374
245,135,0.322707
248,136,-0.109223
251,137,0.126934
252,138,0.120058
253,139,0.172291
254,140,0.249431
257,141,-0.254514
262,142,0.148676
265,143,0.160206
266,144,0.136720
268,145,-0.208229
269,146,-0.274109
270,147,0.116609
273,148,0.126282
274,149,0.396685
275,150,0.148997
276,151,-0.115443
277,152,-0.276312
280,153,-0.227041
282,154,0.137952
284,155,-0.183419
285,156,-0.147995
286,157,-0.230378
287,158,0.195779
289,159,-0.117553
290,160,-0.226548
293,161,-0.154664
294,162,-0.160127
295,163,0.123604
297,164,-0.290214
298,165,-0.258870
302,166,-0.173306
303,167,-0.145602
306,168,0.119448
307,169,0.249860
311,170,-0.277778
312,171,0.127672
313,172,0.259722
314,173,0.328493
315,174,0.311240
319,175,-0.165331
320,176,0.364338
321,177,0.186039
322,178,0.166632
323,179,0.344042
325,180,-0.136420
326,181,0.106144
327,182,-0.214825
328,183,0.210492
329,184,0.108764
331,185,0.329173
334,186,0.174744
335,187,-0.168055
336,188,0.147935
337,189,-0.125317
338,190,-0.273738
339,191,0.121030
343,192,-0.158873
346,193,-0.164448
351,194,-0.119605
352,195,-0.145865
353,196,0.293054
354,197,0.260185
357,198,0.268761
361,199,0.198533
362,200,0.352656
363,201,0.240922
364,202,0.172463
365,203,0.263815
366,204,0.319017
369,205,0.124330
370,206,0.246971
371,207,0.240360
372,208,0.190198
373,209,0.217518
374,210,0.306929
377,211,-0.295908
378,212,-0.177048
379,213,-0.174273
380,214,-0.402060
381,215,-0.186801
382,216,0.198380
385,217,-0.303305
386,218,-0.307876
389,219,-0.109555
390,220,-0.169689
393,221,0.223680
394,222,-0.240711
398,223,-0.240163
401,224,0.185684
406,225,-0.115894
409,226,0.120600
413,227,-0.344350
414,228,-0.135389
415,229,-0.165784
416,230,-0.393616
418,231,-0.346490
419,232,-0.423788
420,233,-0.402902
421,234,-0.387666
422,235,-0.209578
429,236,0.152977
430,237,-0.353883
431,238,-0.126172
433,239,0.238208
437,240,0.130001
438,241,-0.321086
439,242,-0.121029
441,243,0.129506
442,244,0.160749
445,245,0.320775
449,246,-0.119853
450,247,-0.161705
451,248,-0.132650
452,249,-0.106194
455,250,-0.156033
456,251,-0.363118
457,252,-0.375704
458,253,-0.391280
459,254,-0.424621
460,255,-0.420136
461,256,-0.105842
462,257,-0.357045
465,258,-0.299757
466,259,-0.229897
469,260,-0.102382
470,261,-0.361481
471,262,-0.127753
475,263,0.294386
476,264,0.312145
477,265,0.201786
478,266,-0.310475
479,267,-0.124822
481,268,0.321340
482,269,0.409101
483,270,0.234966
484,271,0.224086
485,272,0.156816
488,273,-0.108245
489,274,0.214323
490,275,0.454848
491,276,0.153542
492,277,0.125289
493,278,-0.125912
495,279,-0.162792
496,280,-0.364284
499,281,-0.309155
500,282,-0.324536
501,283,-0.201067
502,284,-0.204926
503,285,-0.103915
505,286,-0.335498
507,287,-0.120462
510,288,-0.356980
511,289,-0.116553
512,290,0.253650
515,291,0.251017
516,292,0.266070
517,293,0.287578
520,294,0.196108
521,295,0.253695
522,296,0.303786
523,297,0.278724
524,298,0.200928
525,299,0.218336
526,300,0.292002
529,301,0.143036
530,302,0.450281
531,303,0.200197
532,304,0.110561
533,305,-0.184967
534,306,0.352298
536,307,-0.337655
538,308,0.139915
539,309,-0.197060
540,310,-0.319724
541,311,-0.332817
542,312,0.119223
545,313,-0.335255
547,314,-0.113322
548,315,-0.111601
550,316,-0.106487
552,317,0.318905
554,318,0.122528
555,319,0.265896
556,320,0.283455
557,321,0.346452
558,322,-0.283761
560,323,0.198248
561,324,0.276352
562,325,0.358386
563,326,0.240160
564,327,0.213497
565,328,0.213586
567,329,0.240187
568,330,0.117266
569,331,0.180702
570,332,0.477069
571,333,0.162704
572,334,0.111177
573,335,-0.111695
574,336,0.279352
575,337,0.133453
576,338,-0.325198
578,339,0.205898
579,340,-0.155203
580,341,-0.273112
581,342,-0.316254
582,343,0.203869
583,344,0.188024
584,345,-0.233096
585,346,-0.307440
587,347,-0.188321
588,348,-0.137737
592,349,0.199241
593,350,-0.111903
596,351,0.109402
597,352,0.218266
598,353,-0.190184
600,354,0.145097
601,355,0.124063
602,356,0.130314
605,357,0.109615
607,358,0.125121
609,359,0.126775
610,360,0.186324
613,361,-0.129061
614,362,0.182304
615,363,0.139985
616,364,-0.256548
619,365,-0.267896
620,366,-0.261765
621,367,-0.280031
623,368,0.134524
624,369,-0.262659
625,370,-0.273379
626,371,-0.160863
627,372,-0.294336
628,373,-0.284130
629,374,-0.138803
630,375,-0.180560
633,376,-0.253909
634,377,-0.192540
638,378,-0.326695
641,379,-0.119245
642,380,-0.209966
643,381,-0.166761
644,382,-0.155473
645,383,-0.126724
646,384,-0.216275
649,385,-0.167235
650,386,-0.130413
651,387,-0.169202
652,388,-0.173974
653,389,-0.280660
654,390,-0.148558
656,391,-0.257367
657,392,-0.175864
658,393,-0.202791
659,394,-0.257357
660,395,-0.251614
661,396,-0.318347
662,397,-0.200690
664,398,-0.256270
665,399,-0.276095
666,400,-0.248098
667,401,-0.246867
668,402,-0.244593
669,403,-0.154373
670,404,-0.238870
671,405,-0.136179
673,406,-0.160407
674,407,-0.129181
677,408,-0.135076
678,409,-0.273606
679,410,-0.136323
680,411,-0.123484
682,412,-0.144602
683,413,-0.135861
684,414,-0.137072
685,415,-0.180938
686,416,-0.178894
687,417,-0.103215
688,418,-0.164278
689,419,-0.100043
690,420,-0.129612
691,421,-0.146510
692,422,-0.137298
693,423,-0.228861
695,424,-0.134351
696,425,-0.233680
697,426,-0.183121
698,427,-0.185701
699,428,-0.204774
700,429,-0.194684
701,430,-0.222804
702,431,-0.139535
703,432,-0.135742
704,433,-0.241210
705,434,-0.243983
706,435,-0.237477
707,436,-0.248515
708,437,-0.236257
709,438,-0.199554
710,439,-0.225593
711,440,-0.149079
713,441,-0.147415
718,442,-0.261581
719,443,-0.161136
720,444,-0.139401
723,445,-0.112748
724,446,-0.105609
725,447,-0.121370
726,448,-0.174796
727,449,-0.112994
728,450,-0.127373
729,451,-0.128630
731,452,-0.135704
732,453,-0.123150
733,454,-0.190478
735,455,-0.134634
736,456,-0.188776
737,457,-0.145100
738,458,-0.136932
739,459,-0.154126
740,460,-0.138375
741,461,-0.217290
742,462,-0.134456
743,463,-0.116119
744,464,-0.220643
745,465,-0.223011
746,466,-0.246975
747,467,-0.251164
748,468,-0.255330
749,469,-0.213529
750,470,-0.240535
751,471,-0.123125
753,472,-0.213894
754,473,-0.192399
755,474,-0.119501
756,475,-0.123418
757,476,-0.116729
758,477,-0.226797
759,478,-0.153514
760,479,-0.126525
761,480,-0.130684
762,481,-0.174922
763,482,-0.117448
764,483,-0.133574
765,484,-0.143965
766,485,-0.208761
767,486,-0.127636
768,487,-0.119817
769,488,-0.144860
770,489,-0.133829
771,490,-0.141798
772,491,-0.142857
773,492,-0.154060
774,493,-0.119359
775,494,-0.121812
776,495,-0.148884
777,496,-0.145059
778,497,-0.142348
779,498,-0.143016
780,499,-0.123674
781,500,-0.243098
782,501,-0.126177
783,502,-0.115458
784,503,-0.228015
785,504,-0.226725
786,505,-0.251802
787,506,-0.243539
788,507,-0.248178
789,508,-0.251346
790,509,-0.158706
791,510,-0.136847
792,511,-0.133195
793,512,-0.156894
794,513,-0.222710
795,514,-0.114554
796,515,-0.104640
797,516,-0.127143
798,517,-0.209428
799,518,-0.136977
800,519,-0.123086
801,520,-0.140564
802,521,-0.211352
803,522,-0.122893
804,523,-0.114007
805,524,-0.145047
806,525,-0.212623
807,526,-0.130773
808,527,-0.119928
809,528,-0.136248
810,529,-0.140847
811,530,-0.122442
812,531,-0.117346
813,532,-0.159473
814,533,-0.118348
815,534,-0.124806
816,535,-0.140527
817,536,-0.157182
818,537,-0.137206
819,538,-0.133347
820,539,-0.107839
821,540,-0.234389
822,541,-0.142951
823,542,-0.144683
824,543,-0.243572
825,544,-0.163664
826,545,-0.175225
827,546,-0.170564
828,547,-0.159305
829,548,-0.144669
830,549,-0.141626
831,550,-0.126578
832,551,-0.120165
833,552,-0.151876
834,553,-0.154051
835,554,-0.114604
836,555,-0.109938
837,556,-0.125916
838,557,-0.222810
839,558,-0.145560
840,559,-0.117200
841,560,-0.135620
842,561,-0.156642
843,562,-0.135628
844,563,-0.131683
845,564,-0.141167
846,565,-0.218173
847,566,-0.135178
848,567,-0.120747
849,568,-0.131851
850,569,-0.115727
851,570,-0.113359
852,571,-0.111828
853,572,-0.156740
854,573,-0.129500
855,574,-0.131425
856,575,-0.149910
857,576,-0.152534
858,577,-0.147394
859,578,-0.142167
860,579,-0.123767
861,580,-0.234485
862,581,-0.120153
863,582,-0.111463
864,583,-0.227542
865,584,-0.150178
866,585,-0.132865
867,586,-0.124098
868,587,-0.120167
869,588,-0.135683
870,589,-0.140728
871,590,-0.133805
872,591,-0.132197
873,592,-0.142004
874,593,-0.125282
875,594,-0.113272
876,595,-0.106580
877,596,-0.128070
878,597,-0.154071
879,598,-0.129261
880,599,-0.122989
881,600,-0.129498
882,601,-0.124644
883,602,-0.110506
884,603,-0.116016
885,604,-0.129281
886,605,-0.137906
887,606,-0.116998
888,607,-0.108640
889,608,-0.120384
890,609,-0.117660
891,610,-0.114407
892,611,-0.103402
893,612,-0.137482
894,613,-0.120132
895,614,-0.116794
896,615,-0.142839
897,616,-0.126645
898,617,-0.132361
899,618,-0.130351
900,619,-0.108805
901,620,-0.137342
902,621,-0.103833
903,622,-0.108951
904,623,-0.134349
905,624,-0.139399
906,625,-0.125333
907,626,-0.110970
908,627,-0.113706
909,628,-0.124937
910,629,-0.127063
911,630,-0.123167
912,631,-0.113866
913,632,-0.118676
914,633,-0.119433
915,634,-0.108984
916,635,-0.106418
917,636,-0.120964
918,637,-0.132017
919,638,-0.119369
920,639,-0.119669
921,640,-0.122707
922,641,-0.113539
923,642,-0.117488
924,643,-0.103380
925,644,-0.121877
926,645,-0.120066
927,646,-0.110857
928,647,-0.115544
929,648,-0.131032
930,649,-0.116434
931,650,-0.107869
932,651,-0.110775
933,652,-0.143979
934,653,-0.115203
935,654,-0.121175
936,655,-0.130146
937,656,-0.132498
938,657,-0.123731
939,658,-0.134338
940,659,-0.103383
941,660,-0.133076
942,661,-0.112779
943,662,-0.117017
944,663,-0.119822
945,664,-0.144465
946,665,-0.113918
947,666,-0.127847
948,667,-0.117855
949,668,-0.124126
950,669,-0.123431
951,670,-0.141686
952,671,-0.113432
953,672,-0.140275
954,673,-0.112712
955,674,-0.113230
956,675,-0.102885
957,676,-0.140401
958,677,-0.132795
959,678,-0.132282
960,679,-0.110273
961,680,-0.122155
962,681,-0.110537
963,682,-0.126437
965,683,-0.137209
966,684,-0.111328
967,685,-0.125557
968,686,-0.114542
969,687,-0.133845
970,688,-0.111022
971,689,-0.141346
972,690,-0.108842
973,691,-0.139484
974,692,-0.116229
975,693,-0.130582
976,694,-0.128139
977,695,-0.145666
978,696,-0.121264
979,697,-0.126826
980,698,-0.103235
981,699,-0.127066
982,700,-0.117486
983,701,-0.136875
984,702,-0.115458
985,703,-0.125736
986,704,-0.110447
987,705,-0.131349
988,706,-0.131091
989,707,-0.156627
990,708,-0.139499
991,709,-0.137771
992,710,-0.120701
993,711,-0.161234
994,712,-0.148223
995,713,-0.155101
996,714,-0.125981
997,715,-0.129640
998,716,-0.128195
999,717,-0.134362
1000,718,-0.123725
1001,719,-0.157218
1002,720,-0.120202
1003,721,-0.127898
1004,722,-0.127443
1005,723,-0.161575
1006,724,-0.137283
1007,725,-0.147132
1008,726,-0.127818
1009,727,-0.143215
1010,728,-0.140136
1011,729,-0.134769
1012,730,-0.104128
1013,731,-0.159920
1014,732,-0.127913
1015,733,-0.130325
1016,734,-0.127942
1017,735,-0.137730
1018,736,-0.138430
1019,737,-0.153493
1020,738,-0.120813
1021,739,-0.138240
1022,740,-0.120072
1023,741,-0.124216
1024,742,-0.136072
1025,743,0.331562
1026,744,0.338692
1027,745,-0.218947
1028,746,-0.137255
1030,747,0.175669
1031,748,-0.125067
1033,749,0.224339
1034,750,0.376242
1035,751,-0.174444
1036,752,-0.135842
1037,753,0.295135
1038,754,0.391765
1039,755,-0.119012
1040,756,-0.127016
1041,757,0.225037
1042,758,0.365893
1045,759,0.335935
1046,760,0.424406
1048,761,-0.176199
1049,762,0.349616
1050,763,0.472670
1053,764,0.360111
1054,765,0.417633
1055,766,-0.110246
1057,767,0.391127
1058,768,0.456116
1059,769,-0.135193
1060,770,-0.218680
1061,771,0.372215
1062,772,0.378813
1065,773,0.436583
1066,774,0.437199
1069,775,0.370330
1070,776,0.495950
1072,777,-0.137720
1073,778,0.358563
1074,779,0.423031
1075,780,-0.117262
1077,781,0.309237
1078,782,0.455240
1079,783,-0.120375
1080,784,-0.125286
1081,785,0.392267
1082,786,0.429503
1085,787,0.340625
1086,788,0.341600
1088,789,-0.162019
1089,790,0.373204
1090,791,0.440798
1091,792,-0.129401
1093,793,0.356541
1094,794,0.371809
1095,795,-0.136872
1097,796,0.343886
1098,797,0.474773
1101,798,0.344263
1102,799,0.365980
1103,800,-0.100511
1104,801,-0.181421
1105,802,0.271004
1106,803,0.346711
1107,804,-0.106410
1108,805,-0.180436
1109,806,0.326385
1110,807,0.407838
1111,808,-0.177702
1112,809,-0.103318
1113,810,0.353910
1114,811,0.421426
1115,812,-0.127852
1116,813,-0.144405
1117,814,0.390833
1118,815,0.456196
1119,816,-0.154713
1121,817,0.347643
1122,818,0.420173
1123,819,-0.120934
1125,820,0.380802
1126,821,0.316686
1127,822,-0.238474
1128,823,-0.136378
1129,824,0.307426
1130,825,0.359267
1131,826,-0.119820
1133,827,0.382669
1134,828,0.450861
1135,829,-0.187374
1136,830,-0.150018
1137,831,0.322093
1138,832,0.419109
1139,833,-0.134608
1140,834,-0.102355
1141,835,0.320587
1142,836,0.433579
1143,837,-0.102558
1145,838,0.334183
1146,839,0.431419
1147,840,-0.156855
1148,841,-0.116547
1149,842,0.389080
1150,843,0.454866
1151,844,-0.103474
1153,845,0.355977
1154,846,0.460054
1157,847,0.384884
1158,848,0.360120
1159,849,-0.130728
1161,850,0.375290
1162,851,0.444661
1165,852,0.330304
1166,853,0.331153
1167,854,-0.167970
1168,855,-0.174626
1169,856,0.334850
1170,857,0.383180
1171,858,-0.105336
1173,859,0.344698
1174,860,0.382503
1175,861,-0.183913
1176,862,-0.107328
1177,863,0.368925
1178,864,0.394124
1179,865,-0.139311
1180,866,-0.158391
1181,867,0.362289
1182,868,0.424674
1183,869,-0.176132
1184,870,-0.145885
1185,871,0.317787
1186,872,0.342349
1187,873,-0.140310
1188,874,-0.130548
1189,875,0.391826
1190,876,0.389776
1191,877,-0.172721
1192,878,-0.129093
1193,879,0.281126
1194,880,0.339336
1195,881,-0.141556
1196,882,-0.187950
1197,883,0.285239
1198,884,0.358036
